Command for all runs (mvapich built osu loaded):
mpirun_rsh -np 128 -hostfile hostfile $(which osu_allreduce) -T mpi_float -z

Run 0
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
4                     181.85            170.62            224.57            279.22
8                     175.62            164.88            217.57            263.37
16                    179.54            169.07            199.20            248.43
32                    174.57            165.36            196.64            268.61
64                    183.16            172.22            223.02            265.78
128                   169.59            164.10            191.55            236.83
256                   327.77            312.03            384.65            441.54
512                   356.18            340.44            426.87            519.59
1024                  555.65            558.63            641.09            756.93
2048                  444.11            437.40            490.25            565.56
4096                 2677.31           2524.12           3077.45           4231.38
8192                 3242.66           3274.48           3757.64           4122.31
16384                5005.33           4948.54           5291.40           6253.55
32768                6939.37           6871.92           7229.31           8041.90
65536               10609.24          10624.11          11491.69          12459.00
131072              13730.73          13779.71          14706.00          15615.70
262144              14990.54          14271.22          18341.57          20241.05
524288              11794.00          11456.43          13240.85          13689.78
1048576             13206.99          12867.45          14326.48          17039.90

Run 1
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
4                     194.43            176.00            230.18            533.21
8                     189.90            178.17            206.57            407.82
16                    180.60            172.98            198.24            333.36
32                   1424.29            179.70            211.83            306.48
64                    186.72            176.49            220.48            326.71
128                   191.43            182.41            218.73            309.68
256                   351.28            341.83            418.40            508.73
512                   364.39            338.29            425.71            680.79
1024                 1231.48            577.33            657.46            745.24
2048                  484.67            470.83            563.05            640.79
4096                 3220.04           2982.83           3831.47           5287.51
8192                 3647.11           3491.26           4382.84           5521.30
16384                4674.28           4627.61           4897.07           5010.64
32768                7064.08           6963.98           8163.63           9413.81
65536               13701.54          14400.19          15076.86          15718.24
131072              16624.43          17008.03          17736.76          18278.46
262144              16371.26          15623.29          18448.11          19298.50
524288              14506.84          14293.75          17783.70          18520.38
1048576             27646.99          16478.53          19535.40          22863.74

Run 2
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
4                     187.18            178.53            208.50            299.61
8                     192.42            183.78            226.20            284.01
16                    181.71            173.62            211.70            276.96
32                    167.23            161.07            184.99            248.70
64                    232.63            171.02            208.87           1219.05
128                   321.60            172.87            219.91           6147.73
256                   361.29            356.87            422.38            489.46
512                   389.76            372.14            455.86            552.73
1024                  580.14            565.33            673.70            783.71
2048                  469.34            460.15            521.63            679.77
4096                 3152.16           2841.75           3611.22           5698.17
8192                 3375.90           3260.79           3680.28           5392.08
16384                4606.39           4418.59           4815.45           6246.63
32768                6487.77           6467.96           6762.09           7172.78
65536               10214.74          10042.78          11705.26          12679.91
131072              12401.08          12703.69          13619.49          13933.87
262144              12348.29          11174.21          11899.40          12915.71
524288              13507.60          13490.19          14134.28          15053.24
1048576             17185.28          15217.81          22125.81          23217.98

Ryn 3
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
4                     171.87            160.74            205.21            292.79
8                     176.54            161.68            201.91            496.04
16                    165.54            157.83            197.71            253.44
32                    153.46            148.52            171.24            220.82
64                    166.41            160.67            194.17            258.04
128                   187.89            181.80            217.18            268.31
256                   339.86            328.64            385.88            483.90
512                   361.37            348.30            417.67            500.14
1024                  538.97            537.59            608.91            660.99
2048                  390.88            385.03            418.10            512.12
4096                 3673.42           3599.59           4236.02           4736.32
8192                 4075.34           3970.36           4738.69           5670.93
16384                4711.66           4621.98           5044.52           5432.94
32768                6773.58           6723.61           7047.51           8043.87
65536               12033.67          11960.43          12951.53          13499.08
131072              13391.82          13502.90          14486.03          15082.51
262144              13089.05          12991.24          13658.07          14898.38
524288              15267.10          15269.15          16142.18          17173.21
1048576             14750.92          14518.68          16666.18          18036.71
