Command for all runs (openmpi built osu loaded):
mpirun --host scc135-cpu14:32,scc135-cpu15:32,scc135-cpu16:32,scc135-cpu17:32 --report-bindings $(which osu_allreduce) -T mpi_float -z

Pre-Optimization:

Run 0
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
4                    2591.51           1820.71           2528.25           5026.28
8                    2003.14           1652.91           2726.26           4957.61
16                   2136.05           1839.59           2957.75           7419.15
32                   1678.00           1530.26           2312.88           3617.90
64                   1602.71           1474.38           2031.71           3117.38
128                  1722.33           1597.45           2361.84           3250.28
256                  2594.38           1588.83           2142.05           3166.98
512                  1940.81           1845.18           2555.25           3581.07
1024                 1701.08           1605.06           2022.12           2765.02
2048                 1761.85           1596.14           2137.49           3894.57
4096                 2189.89           1891.19           3132.75           6056.61
8192                 2187.04           2025.06           2770.01           3510.11
16384                2846.44           2806.65           3136.87           3262.22
32768                2676.20           2658.80           2917.28           3031.44
65536                3646.67           3241.30           3613.18           5178.02
131072              24312.60          22504.93          32700.86          47437.64
262144               4641.21           4538.44           5116.93           5440.51
524288               6051.44           5992.83           6620.83           6865.60
1048576             10166.13           8754.67           9096.12          13295.58

Run 1
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
4                    1522.93           1446.10           1806.02           3764.62
8                    2206.18           1496.46           2647.59           8908.62
16                   1701.38           1594.22           1816.97           4263.69
32                   1853.01           1734.25           2115.44           4039.45
64                   1938.40           1896.15           2106.66           3136.41
128                  1969.34           1912.32           2168.82           3941.68
256                  1709.51           1536.15           1943.07           4919.18
512                  1735.39           1596.48           2078.36           3869.36
1024                 1775.65           1716.51           2065.11           2711.61
2048                 2201.55           1915.08           2333.51          10060.20
4096                 2095.14           1928.06           2358.24           3531.04
8192                 2137.53           2100.09           2316.91           2976.31
16384                2772.57           2724.01           2981.76           3634.42
32768                3048.84           3041.12           3282.74           4215.52
65536                5092.86           3368.85           4595.80           5734.18
131072              22750.07          19506.50          22559.73          70376.92
262144               6972.17           6800.70           7750.02           9194.43
524288               7534.27           7284.98           8851.87          10806.80
1048576             10031.22           9299.17          11575.22          19022.91

Run 2
4                    1826.38           1773.54           2133.41           4843.19
8                    1975.84           1796.92           2545.67           6004.51
16                   1717.23           1609.14           2055.19           4294.47
32                   1833.82           1642.22           2366.62           5053.87
64                   1588.90           1571.00           1883.53           2411.21
128                  2034.04           1706.06           2434.53           5142.21
256                  1924.61           1788.11           2227.38           4305.40
512                  1870.88           1769.20           2206.23           3600.16
1024                 2277.87           1957.39           2990.01           7413.61
2048                 2244.81           1842.03           2061.40           3825.51
4096                 2331.84           2166.38           2792.00           4828.94
8192                 2520.03           2238.59           3021.19           5735.99
16384                3303.37           3077.69           3436.73           4167.63
32768                3800.73           3788.03           4561.20           5102.11
65536                3791.18           3578.50           3864.78           7401.82
131072              29600.48          27732.79          40417.18          42524.98
262144               7474.96           7081.05           9037.32          11653.83
524288               6275.89           5975.33           7607.88           9206.76
1048576              9468.78           9347.67           9722.67          13511.82

Run 3
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
4                    1843.89           1812.64           2166.58           3847.68
8                    1786.27           1754.35           2093.05           2711.72
16                   1595.23           1564.97           1882.86           3072.54
32                   1594.41           1580.64           1884.04           2595.23
64                   1927.09           1795.75           2267.72           4509.43
128                  1931.17           1765.63           2051.72           4286.63
256                  1900.93           1800.84           2109.30           4559.72
512                  2035.45           1980.32           2214.26           3462.76
1024                 2863.45           1854.71           2184.06           4630.94
2048                 1827.16           1760.24           1964.84           3113.72
4096                 2159.18           2104.39           2386.87           3505.49
8192                 2227.68           2135.25           2491.32           3717.47
16384                2937.20           2930.05           3069.10           3270.68
32768                3412.05           3145.27           3701.90           7249.16
65536                3348.38           3342.62           3520.41           3774.57
131072              23668.59          22030.42          29289.47          34282.88
262144               7179.82           7084.30           7773.21           8435.55
524288               7767.63           7603.37          10128.93          10525.00
1048576             11295.19           9702.19          13168.50          31023.78

RUn 4
4                    1698.15           1672.11           1888.18           3141.87
8                    2164.46           1741.12           3112.07           7606.34
16                   1700.09           1637.17           1872.99           3050.07
32                   1757.67           1679.28           1952.43           3305.23
64                   1901.33           1699.97           2251.45           3652.25
128                  2346.59           1551.91           1765.98           2890.86
256                  3055.90           1742.69           2419.85           6011.18
512                  1987.55           1793.37           2212.78           4846.88
1024                 3941.20           1942.28           2251.80           7781.89
2048                 2122.79           2013.63           2433.54           4499.96
4096                 2266.17           1988.72           2578.49          11425.46
8192                 2212.45           2140.00           2490.47           3745.58
16384                2937.62           2912.14           3043.93           4110.19
32768                3714.42           3570.80           4501.05           5371.67
65536                3361.80           3406.99           3546.23           3632.65
131072              23219.93          23678.53          27476.50          38426.13
262144               6518.30           6143.17           7311.66          10557.59
524288               7739.91           5315.09           7800.80           8758.05
1048576              8989.37           8740.87           9934.77          11386.06

Post Optimization:

Run 0
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
4                    1758.07           1568.44           2293.10           5512.36
8                    1979.47           1511.10           2144.46           5699.39
16                   1666.55           1474.70           2145.23           5368.47
32                   2077.69           1391.73           1736.55           3798.24
64                   1718.74           1308.86           1565.24           2375.26
128                  1921.90           1442.93           2266.37           3480.22
256                  1929.84           1606.68           2471.07           6448.51
512                  2463.57           1505.93           2283.37           5387.41
1024                 1533.77           1466.33           1722.69           3221.56
2048                 2239.88           1912.94           2670.17           8615.61
4096                 2228.65           2022.11           2598.59           6245.50
8192                 2707.22           2159.27           4521.76           8271.06
16384                2785.30           2782.34           2904.15           3184.43
32768                3219.37           3179.79           3470.29           3787.81
65536                3232.54           3241.36           3416.48           3560.21
131072              23879.59          22864.04          29814.15          35553.91
262144               6875.69           6685.39           7566.12           8423.83
524288               7408.23           7188.55           9218.80          10004.75
