# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
4                       0.37              0.36              0.39              0.45
8                       0.35              0.35              0.38              0.46
16                      0.38              0.36              0.46              0.56
32                      0.37              0.35              0.44              0.52
64                      0.45              0.44              0.55              0.60
128                     0.57              0.58              0.63              0.69
256                     0.57              0.57              0.62              0.67
512                     0.93              0.90              0.99              1.05
1024                    1.01              1.00              1.08              1.15
2048                    1.25              1.23              1.30              1.36
4096                    2.20              2.19              2.29              2.42
8192                    3.33              3.34              3.50              3.62
16384                   6.44              6.39              6.68              6.79
32768                  10.12             10.10             10.28             10.43
65536                  14.06             14.10             14.30             14.60
131072                 23.84             23.75             24.09             26.11
262144                 45.90             45.70             46.67             48.28
524288                100.37             99.58            101.06            105.70
1048576               262.76            262.93            264.88            268.30

4                       0.37              0.36              0.38              0.48
8                       0.37              0.36              0.39              0.46
16                      0.37              0.36              0.46              0.53
32                      0.39              0.36              0.46              0.60
64                      0.44              0.43              0.54              0.59
128                     0.57              0.58              0.63              0.66
256                     0.58              0.58              0.64              0.71
512                     0.92              0.90              0.99              1.06
1024                    1.03              1.01              1.11              1.17
2048                    1.25              1.23              1.31              1.39
4096                    2.19              2.18              2.27              2.38
8192                    3.29              3.24              3.49              3.61
16384                   6.36              6.37              6.58              6.72
32768                  10.09             10.05             10.23             10.47
65536                  14.01             13.95             14.19             14.37
131072                 23.91             23.85             24.05             26.38
262144                 45.81             45.72             46.04             48.14
524288                100.22             99.84            101.20            104.20
1048576               263.19            263.64            266.07            268.80

4                       0.37              0.37              0.40              0.48
8                       0.37              0.36              0.39              0.46
16                      0.38              0.37              0.45              0.55
32                      0.39              0.37              0.46              0.55
64                      0.45              0.44              0.55              0.59
128                     0.57              0.58              0.63              0.67
256                     0.57              0.57              0.61              0.66
512                     0.87              0.86              0.94              1.02
1024                    1.00              0.99              1.06              1.11
2048                    1.21              1.20              1.26              1.32
4096                    2.20              2.19              2.29              2.40
8192                    3.15              3.15              3.33              3.49
16384                   6.19              6.13              6.40              6.54
32768                   9.79              9.76              9.96             10.31
65536                  13.83             13.79             14.16             14.47
131072                 23.24             23.17             23.38             25.29
262144                 45.08             44.53             46.76             47.35
524288                101.42            100.96            102.41            105.53
1048576               263.45            263.98            266.15            268.92

4                       0.37              0.36              0.39              0.49
8                       0.35              0.35              0.37              0.47
16                      0.38              0.36              0.47              0.62
32                      0.37              0.35              0.45              0.63
64                      0.44              0.43              0.54              0.59
128                     0.56              0.57              0.63              0.72
256                     0.57              0.56              0.61              0.67
512                     0.88              0.87              0.96              1.04
1024                    0.99              0.98              1.05              1.14
2048                    1.22              1.20              1.28              1.35
4096                    2.15              2.13              2.24              2.33
8192                    3.25              3.27              3.40              3.51
16384                   6.23              6.25              6.42              6.60
32768                   9.96              9.93             10.11             10.27
65536                  13.84             13.78             13.99             14.30
131072                 23.87             23.80             23.95             25.80
262144                 46.21             46.06             46.46             48.82
524288                105.28            104.75            108.07            109.85
1048576               264.04            264.88            266.12            269.04

4                       0.37              0.37              0.39              0.46
8                       0.35              0.35              0.38              0.44
16                      0.38              0.36              0.46              0.56
32                      0.37              0.36              0.46              0.54
64                      0.44              0.43              0.54              0.57
128                     0.56              0.57              0.63              0.66
256                     0.57              0.57              0.61              0.66
512                     0.93              0.94              0.98              1.04
1024                    1.00              0.99              1.07              1.13
2048                    1.23              1.22              1.29              1.35
4096                    2.14              2.13              2.24              2.35
8192                    3.27              3.24              3.46              3.58
16384                   6.34              6.31              6.54              6.61
32768                  10.12             10.08             10.36             10.48
65536                  13.99             13.94             14.27             14.34
131072                 23.91             23.88             24.01             25.70
262144                 45.96             45.81             46.04             48.35
524288                102.50            102.19            103.19            106.29
1048576               265.57            265.60            268.21            270.92

4                       0.37              0.36              0.39              0.49
8                       0.36              0.35              0.38              0.48
16                      0.38              0.36              0.46              0.54
32                      0.37              0.35              0.46              0.55
64                      0.43              0.41              0.53              0.56
128                     0.56              0.57              0.63              0.71
256                     0.57              0.56              0.62              0.82
512                     0.87              0.86              0.94              1.01
1024                    0.98              0.97              1.04              1.11
2048                    1.21              1.20              1.25              1.33
4096                    2.13              2.12              2.23              2.38
8192                    3.32              3.35              3.48              3.58
16384                   6.38              6.39              6.57              6.66
32768                  10.14             10.11             10.28             10.45
65536                  13.98             13.93             14.13             14.52
131072                 24.08             23.98             24.46             25.73
262144                 45.91             45.70             46.62             48.60
524288                101.22            100.56            101.81            110.45
1048576               261.51            260.78            263.74            264.65

4                       0.37              0.36              0.39              0.50
8                       0.36              0.36              0.39              0.47
16                      0.38              0.36              0.46              0.54
32                      0.38              0.37              0.47              0.56
64                      0.44              0.43              0.54              0.58
128                     0.57              0.58              0.63              0.67
256                     0.58              0.57              0.62              0.66
512                     0.87              0.86              0.91              0.98
1024                    1.03              1.02              1.09              1.15
2048                    1.22              1.21              1.27              1.33
4096                    2.19              2.18              2.27              2.37
8192                    3.26              3.27              3.44              3.56
16384                   6.35              6.30              6.53              6.72
32768                  10.05             10.03             10.23             10.36
65536                  14.02             13.97             14.27             15.83
131072                 24.08             23.99             24.38             25.95
262144                 46.15             45.88             46.99             49.02
524288                101.85            101.49            102.23            106.34
1048576               265.21            264.54            267.49            270.43

4                       0.38              0.37              0.40              0.49
8                       0.37              0.36              0.39              0.48
16                      0.39              0.37              0.47              0.58
32                      0.38              0.36              0.44              0.56
64                      0.44              0.42              0.54              0.59
128                     0.55              0.55              0.62              0.69
256                     0.57              0.57              0.62              0.67
512                     0.88              0.87              0.95              1.02
1024                    1.00              0.98              1.05              1.11
2048                    1.19              1.19              1.24              1.31
4096                    2.15              2.14              2.25              2.35
8192                    3.28              3.22              3.49              3.61
16384                   6.46              6.46              6.65              6.77
32768                  10.09             10.08             10.26             10.38
65536                  14.09             14.02             14.36             16.24
131072                 23.99             23.95             24.13             25.93
262144                 46.09             45.84             46.86             49.03
524288                101.01            100.58            101.44            105.67
1048576               261.52            260.48            264.62            267.64

4                       0.37              0.37              0.39              0.50
8                       0.36              0.35              0.38              0.47
16                      0.38              0.36              0.48              0.56
32                      0.39              0.37              0.48              0.58
64                      0.43              0.41              0.53              0.58
128                     0.55              0.56              0.62              0.72
256                     0.56              0.56              0.62              0.68
512                     0.85              0.85              0.90              0.97
1024                    0.99              0.97              1.05              1.12
2048                    1.21              1.19              1.25              1.31
4096                    2.13              2.12              2.22              2.30
8192                    3.24              3.21              3.43              3.57
16384                   6.25              6.22              6.50              6.62
32768                  10.13             10.05             10.29             10.50
65536                  13.85             13.76             14.04             16.48
131072                 23.75             23.69             23.96             25.65
262144                 45.66             45.55             45.90             47.46
524288                100.42             99.99            100.80            107.90
1048576               260.58            259.78            263.16            264.31

4                       0.36              0.36              0.38              0.44
8                       0.36              0.35              0.38              0.46
16                      0.36              0.35              0.41              0.54
32                      0.37              0.36              0.41              0.55
64                      0.43              0.42              0.53              0.57
128                     0.56              0.57              0.63              0.68
256                     0.56              0.56              0.61              0.64
512                     0.92              0.90              0.99              1.06
1024                    1.02              1.01              1.09              1.15
2048                    1.42              1.22              1.29              1.35
4096                    2.14              2.13              2.23              2.33
8192                    3.28              3.25              3.47              3.58
16384                   6.28              6.28              6.58              6.71
32768                  10.07             10.05             10.29             10.35
65536                  14.53             14.11             14.30             14.67
131072                 24.00             23.89             24.11             25.92
262144                 46.10             45.80             46.83             50.15
524288                102.71            102.30            104.71            106.33
1048576               262.05            260.90            264.56            267.52
