[node037.cluster:2021430] Rank 0 bound to package[0][core:0]
[node037.cluster:2021430] Rank 1 bound to package[0][core:1]

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
4                       0.36              0.36              0.39              0.48
8                       0.35              0.35              0.37              0.44
16                      0.37              0.36              0.45              0.54
32                      0.37              0.35              0.45              0.54
64                      0.44              0.42              0.54              0.58
128                     0.57              0.57              0.63              0.69
256                     0.58              0.58              0.62              0.68
512                     0.88              0.86              0.97              1.04
1024                    1.01              1.00              1.07              1.14
2048                    1.20              1.19              1.23              1.30
4096                    2.13              2.11              2.21              2.32
8192                    3.44              3.45              3.63              3.75
16384                   6.45              6.41              6.69              6.91
32768                  10.20             10.19             10.40             10.46
65536                  14.09             14.07             14.29             14.40
131072                 24.38             24.28             24.50             26.28
262144                 46.26             46.15             46.42             49.02
524288                102.04            101.60            102.49            106.38
1048576               265.41            264.65            267.85            271.09
