
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
4                       0.36              0.31              0.46              0.48
8                       0.36              0.38              0.46              0.49
16                      0.45              0.45              0.50              0.64
32                      0.45              0.44              0.50              0.62
64                      0.50              0.49              0.57              0.67
128                     0.46              0.46              0.50              0.57
256                     0.56              0.55              0.60              0.69
512                     0.79              0.78              0.87              0.91
1024                    0.96              0.95              0.98              1.02
2048                    1.20              1.20              1.23              1.28
4096                    2.25              2.25              2.30              2.36
8192                    3.01              3.03              3.17              3.27
16384                   6.03              6.03              6.29              6.37
32768                   8.86              8.86              9.07              9.23
65536                  13.82             13.81             14.00             14.15
131072                 24.54             24.46             24.66             26.65
262144                 42.30             42.14             42.78             45.09
524288                 81.77             82.12             84.51             85.26
1048576               170.69            170.08            172.99            176.10

4                       0.35              0.30              0.47              0.50
8                       0.36              0.37              0.47              0.50
16                      0.45              0.44              0.49              0.61
32                      0.46              0.45              0.51              0.62
64                      0.51              0.51              0.59              0.65
128                     0.46              0.46              0.49              0.59
256                     0.56              0.54              0.64              0.69
512                     0.79              0.77              0.87              0.91
1024                    0.98              0.98              1.02              1.09
2048                    1.22              1.21              1.25              1.31
4096                    2.31              2.30              2.35              2.40
8192                    3.04              3.07              3.21              3.30
16384                   5.94              5.96              6.22              6.50
32768                   8.72              8.73              8.95              9.13
65536                  13.91             13.87             14.05             15.78
131072                 24.63             24.57             24.75             26.47
262144                 42.61             41.99             45.30             48.01
524288                 82.89             82.87             85.53             86.82
1048576               170.28            169.60            173.06            175.62

4                       0.37              0.30              0.46              0.50
8                       0.36              0.37              0.46              0.49
16                      0.45              0.44              0.49              0.60
32                      0.45              0.45              0.49              0.61
64                      0.50              0.49              0.57              0.64
128                     0.47              0.46              0.50              0.56
256                     0.54              0.54              0.58              0.62
512                     0.79              0.77              0.87              0.94
1024                    0.97              0.97              1.00              1.06
2048                    1.22              1.22              1.25              1.30
4096                    2.30              2.29              2.34              2.43
8192                    3.05              3.06              3.19              3.30
16384                   5.97              5.98              6.23              6.39
32768                   8.86              8.84              9.08              9.19
65536                  13.97             13.95             14.20             14.38
131072                 24.61             24.55             24.74             26.48
262144                 42.12             42.03             42.56             44.43
524288                 81.74             81.85             83.25             87.73
1048576               166.93            166.27            169.10            170.81

4                       0.35              0.31              0.47              0.49
8                       0.37              0.39              0.47              0.55
16                      0.45              0.44              0.49              0.60
32                      0.45              0.44              0.48              0.59
64                      0.51              0.51              0.60              0.64
128                     0.47              0.46              0.49              0.58
256                     0.54              0.53              0.57              0.64
512                     0.79              0.77              0.87              0.95
1024                    0.96              0.95              1.00              1.10
2048                    1.20              1.19              1.23              1.29
4096                    2.27              2.26              2.31              2.37
8192                    3.01              3.03              3.18              3.29
16384                   6.04              5.98              6.34              6.51
32768                   9.10              9.09              9.32              9.43
65536                  14.08             14.10             14.26             14.38
131072                 24.63             24.58             24.77             26.41
262144                 43.89             43.07             46.22             49.02
524288                 83.25             83.04             86.42             86.72
1048576               166.57            165.85            168.87            172.67

4                       0.35              0.30              0.47              0.49
8                       0.36              0.37              0.47              0.50
16                      0.46              0.44              0.48              0.61
32                      0.46              0.44              0.49              0.59
64                      0.51              0.51              0.59              0.64
128                     0.46              0.46              0.48              0.55
256                     0.54              0.54              0.58              0.62
512                     0.80              0.78              0.88              0.92
1024                    1.00              0.99              1.03              1.09
2048                    1.23              1.22              1.25              1.31
4096                    2.33              2.32              2.37              2.44
8192                    3.08              3.09              3.24              3.35
16384                   6.06              6.02              6.32              6.42
32768                   8.91              8.89              9.16              9.38
65536                  14.08             14.04             14.23             15.37
131072                 24.68             24.63             24.79             26.28
262144                 43.36             42.46             45.51             47.89
524288                 82.54             81.87             86.98             89.40
1048576               165.04            164.54            167.39            168.16

4                       0.35              0.30              0.47              0.49
8                       0.36              0.40              0.47              0.49
16                      0.45              0.44              0.49              0.60
32                      0.45              0.44              0.49              0.59
64                      0.50              0.51              0.60              0.65
128                     0.47              0.46              0.48              0.53
256                     0.55              0.55              0.58              0.62
512                     0.79              0.77              0.87              0.91
1024                    0.96              0.96              0.99              1.07
2048                    1.18              1.18              1.21              1.26
4096                    2.28              2.26              2.31              2.40
8192                    2.98              3.00              3.14              3.24
16384                   6.01              6.01              6.26              6.39
32768                   8.90              8.89              9.07              9.18
65536                  13.92             13.88             14.10             15.53
131072                 24.65             24.54             24.77             27.72
262144                 45.58             47.42             48.07             49.13
524288                 80.29             80.10             82.02             83.70
1048576               163.93            163.45            166.17            167.21

4                       0.35              0.31              0.46              0.48
8                       0.35              0.38              0.46              0.50
16                      0.45              0.44              0.49              0.60
32                      0.45              0.44              0.50              0.60
64                      0.50              0.49              0.57              0.65
128                     0.47              0.46              0.50              0.57
256                     0.54              0.54              0.58              0.67
512                     0.81              0.79              0.88              0.93
1024                    0.97              0.97              1.01              1.09
2048                    1.21              1.21              1.24              1.30
4096                    2.29              2.28              2.33              2.40
8192                    3.07              3.09              3.25              3.34
16384                   6.07              6.04              6.33              6.50
32768                   8.96              8.92              9.17              9.29
65536                  14.00             13.98             14.15             14.31
131072                 24.69             24.66             24.80             26.79
262144                 42.26             42.06             42.71             45.58
