Size,Run,Type,Avg_Latency_us,P50_Tail_Lat_us,P90_Tail_Lat_us,P99_Tail_Lat_us
4,0,Pre,2591.51,1820.71,2528.25,5026.28
8,0,Pre,2003.14,1652.91,2726.26,4957.61
16,0,Pre,2136.05,1839.59,2957.75,7419.15
32,0,Pre,1678,1530.26,2312.88,3617.9
64,0,Pre,1602.71,1474.38,2031.71,3117.38
128,0,Pre,1722.33,1597.45,2361.84,3250.28
256,0,Pre,2594.38,1588.83,2142.05,3166.98
512,0,Pre,1940.81,1845.18,2555.25,3581.07
1024,0,Pre,1701.08,1605.06,2022.12,2765.02
2048,0,Pre,1761.85,1596.14,2137.49,3894.57
4096,0,Pre,2189.89,1891.19,3132.75,6056.61
8192,0,Pre,2187.04,2025.06,2770.01,3510.11
4,1,Pre,1522.93,1446.1,1806.02,3764.62
8,1,Pre,2206.18,1496.46,2647.59,8908.62
16,1,Pre,1701.38,1594.22,1816.97,4263.69
32,1,Pre,1853.01,1734.25,2115.44,4039.45
64,1,Pre,1938.4,1896.15,2106.66,3136.41
128,1,Pre,1969.34,1912.32,2168.82,3941.68
256,1,Pre,1709.51,1536.15,1943.07,4919.18
512,1,Pre,1735.39,1596.48,2078.36,3869.36
1024,1,Pre,1775.65,1716.51,2065.11,2711.61
2048,1,Pre,2201.55,1915.08,2333.51,10060.2
4096,1,Pre,2095.14,1928.06,2358.24,3531.04
8192,1,Pre,2137.53,2100.09,2316.91,2976.31
4,2,Pre,1826.38,1773.54,2133.41,4843.19
8,2,Pre,1975.84,1796.92,2545.67,6004.51
16,2,Pre,1717.23,1609.14,2055.19,4294.47
32,2,Pre,1833.82,1642.22,2366.62,5053.87
64,2,Pre,1588.9,1571,1883.53,2411.21
128,2,Pre,2034.04,1706.06,2434.53,5142.21
256,2,Pre,1924.61,1788.11,2227.38,4305.4
512,2,Pre,1870.88,1769.2,2206.23,3600.16
1024,2,Pre,2277.87,1957.39,2990.01,7413.61
2048,2,Pre,2244.81,1842.03,2061.4,3825.51
4096,2,Pre,2331.84,2166.38,2792,4828.94
8192,2,Pre,2520.03,2238.59,3021.19,5735.99
4,3,Pre,1843.89,1812.64,2166.58,3847.68
8,3,Pre,1786.27,1754.35,2093.05,2711.72
16,3,Pre,1595.23,1564.97,1882.86,3072.54
32,3,Pre,1594.41,1580.64,1884.04,2595.23
64,3,Pre,1927.09,1795.75,2267.72,4509.43
128,3,Pre,1931.17,1765.63,2051.72,4286.63
256,3,Pre,1900.93,1800.84,2109.3,4559.72
512,3,Pre,2035.45,1980.32,2214.26,3462.76
1024,3,Pre,2863.45,1854.71,2184.06,4630.94
2048,3,Pre,1827.16,1760.24,1964.84,3113.72
4096,3,Pre,2159.18,2104.39,2386.87,3505.49
